Time (Red),ABV (Red),Time (Yellow),ABV (Yellow),Time (Green),ABV (Green),,
1/24/24 20:22,0,1/24/24 20:22,0.13,1/24/24 21:00,-0.13,,
1/24/24 20:27,0,1/24/24 20:27,0.00,1/24/24 21:06,-0.13,,
1/24/24 20:33,0,1/24/24 20:33,0.13,1/24/24 21:11,-0.13,,
1/24/24 20:44,0,1/24/24 20:44,0.00,1/24/24 21:28,-0.13,,
1/24/24 20:50,0,1/24/24 20:50,0.13,1/24/24 21:44,-0.13,,
1/24/24 20:55,0,1/24/24 20:55,0.00,1/24/24 22:01,-0.13,,
1/24/24 21:06,0,1/24/24 21:06,0.13,1/24/24 22:07,0.00,,
1/24/24 21:23,0,1/24/24 21:23,0.13,1/24/24 22:12,-0.13,,
1/24/24 21:29,0,1/24/24 21:29,0.00,1/24/24 22:18,0.00,,
1/24/24 21:34,0,1/24/24 21:34,0.13,1/24/24 22:24,-0.13,,
1/24/24 21:51,0,1/24/24 21:51,0.00,1/24/24 22:29,0.00,,
1/24/24 22:02,0,1/24/24 22:02,0.00,1/24/24 22:35,-0.13,,
1/24/24 22:07,0,1/24/24 22:07,0.13,1/24/24 22:52,-0.13,,
1/24/24 22:24,0,1/24/24 22:24,0.13,1/24/24 23:03,0.00,,
1/24/24 22:40,0,1/24/24 22:40,0.13,1/24/24 23:08,-0.13,,
1/24/24 22:57,0,1/24/24 22:57,0.00,1/24/24 23:14,0.00,,
1/24/24 23:08,0.13125,1/24/24 23:08,0.13,1/24/24 23:19,-0.13,,
1/24/24 23:25,0,1/24/24 23:25,0.13,1/24/24 23:30,0.00,,
1/24/24 23:42,0,1/24/24 23:42,0.13,1/24/24 23:36,-0.13,,
1/24/24 23:58,0,1/24/24 23:58,0.13,1/24/24 23:41,0.00,,
1/25/24 0:15,0,1/25/24 0:15,0.13,1/24/24 23:53,-0.13,,
1/25/24 0:20,0.13125,1/25/24 0:20,0.00,1/24/24 23:58,0.00,,
1/25/24 0:26,0,1/25/24 0:26,0.13,1/25/24 0:15,0.00,,
1/25/24 0:31,0,1/25/24 0:31,0.00,1/25/24 0:21,0.00,,
1/25/24 0:37,0,1/25/24 0:37,0.13,1/25/24 0:37,0.00,,
1/25/24 0:48,0,1/25/24 0:48,0.00,1/25/24 0:54,0.00,,
1/25/24 0:53,0,1/25/24 0:53,0.13,1/25/24 1:11,0.00,,
1/25/24 1:10,0,1/25/24 1:10,0.13,1/25/24 1:27,0.00,,
1/25/24 1:27,0.13125,1/25/24 1:27,0.13,1/25/24 1:44,0.00,,
1/25/24 1:43,0,1/25/24 1:43,0.13,1/25/24 2:01,0.00,,
1/25/24 2:00,0.13125,1/25/24 2:00,0.13,1/25/24 2:17,0.00,,
1/25/24 2:17,0.13125,1/25/24 2:17,0.13,1/25/24 2:34,0.00,,
1/25/24 2:33,0,1/25/24 2:33,0.13,1/25/24 2:51,0.00,,
1/25/24 2:50,0.13125,1/25/24 2:50,0.13,1/25/24 3:07,0.00,,
1/25/24 3:01,0,1/25/24 3:01,0.13,1/25/24 3:24,0.00,,
1/25/24 3:17,0.13125,1/25/24 3:17,0.13,1/25/24 3:41,0.00,,
1/25/24 3:34,0,1/25/24 3:34,0.13,1/25/24 3:58,0.00,,
1/25/24 3:51,0.13125,1/25/24 3:51,0.13,1/25/24 4:14,0.00,,
1/25/24 4:07,0,1/25/24 4:07,0.13,1/25/24 4:31,0.00,,
1/25/24 4:24,0.13125,1/25/24 4:24,0.13,1/25/24 4:48,0.13,,
1/25/24 4:41,0,1/25/24 4:41,0.13,1/25/24 4:54,0.00,,
1/25/24 4:57,0.13125,1/25/24 4:57,0.13,1/25/24 5:10,0.00,,
1/25/24 5:14,0,1/25/24 5:14,0.13,1/25/24 5:27,0.00,,
1/25/24 5:31,0.13125,1/25/24 5:31,0.13,1/25/24 5:44,0.13,,
1/25/24 5:47,0,1/25/24 5:47,0.13,1/25/24 5:55,0.13,,
1/25/24 6:04,0.13125,1/25/24 6:04,0.13,1/25/24 6:00,0.00,,
1/25/24 6:20,0.13125,1/25/24 6:20,0.13,1/25/24 6:06,0.13,,
1/25/24 6:37,0.13125,1/25/24 6:37,0.13,1/25/24 6:23,0.13,,
1/25/24 6:54,0.13125,1/25/24 6:54,0.13,1/25/24 6:40,0.13,,
1/25/24 7:10,0.13125,1/25/24 7:10,0.13,1/25/24 6:56,0.13,,
1/25/24 7:27,0.13125,1/25/24 7:27,0.13,1/25/24 7:13,0.13,,
1/25/24 7:32,0.13125,1/25/24 7:32,0.13,1/25/24 7:30,0.13,,
1/25/24 7:49,0.13125,1/25/24 7:49,0.13,1/25/24 7:46,0.13,,
1/25/24 8:06,0.13125,1/25/24 8:06,0.13,1/25/24 8:03,0.13,,
1/25/24 8:22,0.13125,1/25/24 8:22,0.13,1/25/24 8:20,0.13,,
1/25/24 8:39,0.13125,1/25/24 8:39,0.13,1/25/24 8:25,0.26,,
1/25/24 8:55,0.13125,1/25/24 8:55,0.13,1/25/24 8:31,0.13,,
1/25/24 9:12,0.13125,1/25/24 9:12,0.13,1/25/24 8:36,0.26,,
1/25/24 9:29,0.13125,1/25/24 9:29,0.26,1/25/24 8:47,0.13,,
1/25/24 9:40,0.13125,1/25/24 9:40,0.13,1/25/24 8:53,0.26,,
1/25/24 9:45,0.13125,1/25/24 9:45,0.26,1/25/24 8:58,0.13,,
1/25/24 10:02,0.13125,1/25/24 10:02,0.26,1/25/24 9:04,0.26,,
1/25/24 10:18,0.13125,1/25/24 10:18,0.26,1/25/24 9:10,0.13,,
1/25/24 10:35,0.13125,1/25/24 10:35,0.26,1/25/24 9:15,0.26,,
1/25/24 10:41,0.13125,1/25/24 10:41,0.26,1/25/24 9:32,0.26,,
1/25/24 10:58,0.13125,1/25/24 10:58,0.26,1/25/24 9:48,0.26,,
1/25/24 11:14,0.13125,1/25/24 11:14,0.26,1/25/24 10:00,0.26,,
1/25/24 11:31,0.13125,1/25/24 11:31,0.26,1/25/24 10:17,0.26,,
1/25/24 11:47,0.2625,1/25/24 11:47,0.26,1/25/24 10:28,0.39,,
1/25/24 12:04,0.13125,1/25/24 12:04,0.26,1/25/24 10:33,0.26,,
1/25/24 12:20,0.13125,1/25/24 12:20,0.26,1/25/24 10:39,0.39,,
1/25/24 12:26,0.13125,1/25/24 12:26,0.39,1/25/24 10:56,0.39,,
1/25/24 12:32,0.13125,1/25/24 12:32,0.26,1/25/24 11:13,0.39,,
1/25/24 12:48,0.13125,1/25/24 12:48,0.26,1/25/24 11:30,0.39,,
1/25/24 13:05,0.13125,1/25/24 13:05,0.26,1/25/24 11:41,0.53,,
1/25/24 13:11,0.13125,1/25/24 13:11,0.39,1/25/24 11:47,0.39,,
1/25/24 13:16,0.13125,1/25/24 13:16,0.39,1/25/24 12:04,0.53,,
1/25/24 13:33,0.13125,1/25/24 13:33,0.39,1/25/24 12:10,0.39,,
1/25/24 13:52,0.13125,1/25/24 13:52,0.39,1/25/24 12:22,0.53,,
1/25/24 14:19,0.13125,1/25/24 14:19,0.39,1/25/24 12:40,0.53,,
1/25/24 14:32,0.13125,1/25/24 14:32,0.39,1/25/24 12:58,0.53,,
1/25/24 14:50,0.13125,1/25/24 14:50,0.39,1/25/24 13:15,0.53,,
1/25/24 14:56,0.13125,1/25/24 14:56,0.26,1/25/24 13:22,0.66,,
1/25/24 15:07,0.13125,1/25/24 15:07,0.39,1/25/24 13:27,0.53,,
1/25/24 15:24,0.13125,1/25/24 15:24,0.39,1/25/24 13:33,0.66,,
1/25/24 15:41,0.13125,1/25/24 15:41,0.39,1/25/24 13:44,0.53,,
1/25/24 15:58,0.13125,1/25/24 15:58,0.53,1/25/24 14:01,0.53,,
1/25/24 16:09,0.13125,1/25/24 16:09,0.39,1/25/24 14:12,0.66,,
1/25/24 16:15,0.13125,1/25/24 16:15,0.53,1/25/24 14:23,0.53,,
1/25/24 16:21,0.13125,1/25/24 16:21,0.39,1/25/24 14:30,0.66,,
1/25/24 16:32,0.13125,1/25/24 16:32,0.53,1/25/24 14:38,0.79,,
1/25/24 16:37,0.13125,1/25/24 16:37,0.39,1/25/24 14:44,0.66,,
1/25/24 16:43,0.2625,1/25/24 16:43,0.53,1/25/24 15:01,0.66,,
1/25/24 16:49,0.13125,1/25/24 16:49,0.53,1/25/24 15:14,0.79,,
1/25/24 16:54,0.2625,1/25/24 16:54,0.39,1/25/24 15:21,0.66,,
1/25/24 17:00,0.13125,1/25/24 17:00,0.39,1/25/24 15:32,0.79,,
1/25/24 17:05,0.13125,1/25/24 17:05,0.53,1/25/24 15:38,0.66,,
1/25/24 17:22,0.2625,1/25/24 17:22,0.53,1/25/24 15:56,0.79,,
1/25/24 17:39,0.2625,1/25/24 17:39,0.53,1/25/24 18:46,0.92,,
1/25/24 17:56,0.2625,1/25/24 17:56,0.53,1/25/24 18:58,1.05,,
1/25/24 18:12,0.2625,1/25/24 18:12,0.53,1/25/24 19:04,0.92,,
1/25/24 18:23,0.2625,1/25/24 18:23,0.66,1/25/24 19:15,1.05,,
1/25/24 18:29,0.2625,1/25/24 18:29,0.53,1/25/24 19:32,1.05,,
1/25/24 18:35,0.2625,1/25/24 18:35,0.66,1/25/24 19:43,1.18,,
1/25/24 18:41,0.2625,1/25/24 18:41,0.53,1/25/24 19:54,1.18,,
1/25/24 18:58,0.2625,1/25/24 18:58,0.66,1/25/24 19:59,1.05,,
1/25/24 19:04,0.2625,1/25/24 19:04,0.53,1/25/24 20:11,1.18,,
1/25/24 19:16,0.2625,1/25/24 19:16,0.66,1/25/24 20:16,1.05,,
1/25/24 20:47,0.2625,1/25/24 20:47,0.79,1/25/24 20:23,1.18,,
1/25/24 21:07,0.2625,1/25/24 21:07,0.79,1/25/24 20:28,1.31,,
1/25/24 21:27,0.2625,1/25/24 21:27,0.79,1/25/24 20:38,1.05,,
1/25/24 21:47,0.2625,1/25/24 21:47,0.79,1/25/24 20:50,1.31,,
1/25/24 21:53,0.2625,1/25/24 21:53,0.92,1/25/24 21:01,1.44,,
1/25/24 21:59,0.2625,1/25/24 21:59,0.79,1/25/24 22:01,1.58,,
1/25/24 22:17,0.39375,1/25/24 22:17,0.92,1/25/24 22:12,1.44,,
1/25/24 22:25,0.2625,1/25/24 22:25,0.79,1/25/24 22:20,1.58,,
1/25/24 22:42,0.39375,1/25/24 22:42,0.92,1/25/24 22:35,1.58,,
1/25/24 23:00,0.2625,1/25/24 23:00,0.92,1/25/24 22:47,1.71,,
1/25/24 23:21,0.39375,1/25/24 23:21,0.92,1/25/24 22:55,1.84,,
1/25/24 23:27,0.39375,1/25/24 23:27,1.05,1/25/24 23:00,1.71,,
1/25/24 23:34,0.2625,1/25/24 23:34,0.92,1/25/24 23:06,1.84,,
1/25/24 23:42,0.39375,1/25/24 23:42,1.05,1/25/24 23:23,1.84,,
1/25/24 23:54,0.39375,1/25/24 23:54,0.92,1/25/24 23:41,1.84,,
1/26/24 0:00,0.39375,1/26/24 0:00,1.05,1/25/24 23:58,1.84,,
1/26/24 0:18,0.39375,1/26/24 0:18,1.05,1/26/24 0:03,1.71,,
1/26/24 0:37,0.39375,1/26/24 0:37,0.92,1/26/24 0:09,1.84,,
1/26/24 0:44,0.39375,1/26/24 0:44,1.05,1/26/24 0:26,1.84,,
1/26/24 1:14,0.39375,1/26/24 1:14,1.18,1/26/24 0:31,1.97,,
1/26/24 1:26,0.39375,1/26/24 1:26,1.05,1/26/24 0:37,1.71,,
1/26/24 1:47,0.525,1/26/24 1:47,1.18,1/26/24 0:42,1.58,,
1/26/24 1:59,0.39375,1/26/24 1:59,1.05,1/26/24 0:48,1.71,,
1/26/24 2:04,0.525,1/26/24 2:04,1.18,1/26/24 1:04,1.97,,
1/26/24 2:17,0.39375,1/26/24 2:17,1.05,1/26/24 1:15,1.84,,
1/26/24 2:22,0.39375,1/26/24 2:22,1.18,1/26/24 1:21,1.71,,
1/26/24 2:28,0.39375,1/26/24 2:28,1.05,1/26/24 1:26,1.97,,
1/26/24 2:34,0.39375,1/26/24 2:34,1.18,1/26/24 1:32,2.10,,
1/26/24 2:50,0.525,1/26/24 2:50,1.18,1/26/24 1:37,1.97,,
1/26/24 3:02,0.525,1/26/24 3:02,1.18,1/26/24 1:48,2.10,,
1/26/24 3:09,0.525,1/26/24 3:09,1.31,1/26/24 2:05,2.10,,
1/26/24 3:21,0.39375,1/26/24 3:21,1.18,1/26/24 2:11,2.23,,
1/26/24 3:33,0.525,1/26/24 3:33,1.31,1/26/24 2:16,2.10,,
1/26/24 3:45,0.525,1/26/24 3:45,1.18,1/26/24 2:22,2.23,,
1/26/24 4:02,0.525,1/26/24 4:02,1.31,1/26/24 2:38,2.23,,
1/26/24 4:19,0.525,1/26/24 4:19,1.44,1/26/24 2:49,2.36,,
1/26/24 4:36,0.525,1/26/24 4:36,1.44,1/26/24 2:55,2.23,,
1/26/24 4:54,0.525,1/26/24 4:54,1.44,1/26/24 3:00,2.36,,
1/26/24 5:10,0.525,1/26/24 5:10,1.44,1/26/24 3:06,2.23,,
1/26/24 5:16,0.525,1/26/24 5:16,1.58,1/26/24 3:17,2.36,,
1/26/24 5:21,0.525,1/26/24 5:21,1.44,1/26/24 3:34,2.36,,
1/26/24 5:33,0.65625,1/26/24 5:33,1.58,1/26/24 3:50,2.36,,
1/26/24 5:39,0.525,1/26/24 5:39,1.44,1/26/24 4:01,2.49,,
1/26/24 5:44,0.525,1/26/24 5:44,1.31,1/26/24 4:18,2.36,,
1/26/24 5:51,0.525,1/26/24 5:51,1.44,1/26/24 4:29,2.49,,
1/26/24 6:02,0.525,1/26/24 6:02,1.31,1/26/24 4:45,2.49,,
1/26/24 6:08,0.65625,1/26/24 6:08,1.44,1/26/24 5:02,2.49,,
1/26/24 6:14,0.525,1/26/24 6:14,1.44,1/26/24 5:18,2.49,,
1/26/24 6:19,0.65625,1/26/24 6:19,1.58,1/26/24 5:29,2.63,,
1/26/24 6:37,0.525,1/26/24 6:37,1.58,1/26/24 5:35,2.49,,
1/26/24 6:54,0.65625,1/26/24 6:54,1.58,1/26/24 5:52,2.63,,
1/26/24 7:11,0.65625,1/26/24 7:11,1.58,1/26/24 6:08,2.63,,
1/26/24 7:28,0.65625,1/26/24 7:28,1.58,1/26/24 6:19,2.76,,
1/26/24 7:45,0.65625,1/26/24 7:45,1.71,1/26/24 6:25,2.63,,
1/26/24 7:57,0.65625,1/26/24 7:57,1.71,1/26/24 6:30,2.76,,
1/26/24 8:14,0.65625,1/26/24 8:14,1.58,1/26/24 6:47,2.76,,
1/26/24 8:20,0.65625,1/26/24 8:20,1.71,1/26/24 6:58,2.89,,
1/26/24 8:38,0.65625,1/26/24 8:38,1.71,1/26/24 7:15,2.89,,
1/26/24 8:43,0.65625,1/26/24 8:43,1.84,1/26/24 7:20,2.76,,
1/26/24 8:49,0.65625,1/26/24 8:49,1.71,1/26/24 7:26,2.89,,
1/26/24 9:06,0.7875,1/26/24 9:06,1.84,1/26/24 7:42,2.89,,
1/26/24 9:13,0.65625,1/26/24 9:13,1.71,1/26/24 7:48,3.02,,
1/26/24 9:19,0.65625,1/26/24 9:19,1.84,1/26/24 8:04,3.02,,
1/26/24 9:36,0.7875,1/26/24 9:36,1.84,1/26/24 8:21,3.02,,
1/26/24 9:55,0.65625,1/26/24 9:55,1.84,1/26/24 8:38,3.02,,
1/26/24 10:00,0.7875,1/26/24 10:00,1.97,1/26/24 8:54,3.15,,
1/26/24 10:06,0.7875,1/26/24 10:06,1.84,1/26/24 9:11,3.15,,
1/26/24 10:12,0.65625,1/26/24 10:12,1.97,1/26/24 9:27,3.15,,
1/26/24 10:17,0.7875,1/26/24 10:17,1.84,1/26/24 9:44,3.28,,
1/26/24 10:23,0.65625,1/26/24 10:23,1.97,1/26/24 9:49,3.15,,
1/26/24 10:39,0.7875,1/26/24 10:39,1.97,1/26/24 10:06,3.28,,
1/26/24 10:56,0.7875,1/26/24 10:56,1.84,1/26/24 10:23,3.28,,
1/26/24 11:01,0.7875,1/26/24 11:01,1.97,1/26/24 10:39,3.28,,
1/26/24 11:18,0.7875,1/26/24 11:18,1.97,1/26/24 10:56,3.28,,
1/26/24 11:30,0.7875,1/26/24 11:30,2.10,1/26/24 11:13,3.28,,
1/26/24 11:35,0.7875,1/26/24 11:35,1.97,1/26/24 11:18,3.41,,
1/26/24 11:46,0.7875,1/26/24 11:46,2.10,1/26/24 11:35,3.41,,
1/26/24 11:52,0.7875,1/26/24 11:52,1.97,1/26/24 11:52,3.41,,
1/26/24 11:58,0.7875,1/26/24 11:58,2.10,1/26/24 12:08,3.41,,
1/26/24 12:03,0.91875,1/26/24 12:03,2.10,1/26/24 12:14,3.54,,
1/26/24 12:20,0.7875,1/26/24 12:20,2.10,1/26/24 12:19,3.41,,
1/26/24 12:25,0.91875,1/26/24 12:25,2.23,1/26/24 12:25,3.54,,
1/26/24 12:31,0.7875,1/26/24 12:31,2.10,1/26/24 12:41,3.54,,
1/26/24 12:36,0.91875,1/26/24 12:36,2.23,1/26/24 12:58,3.54,,
1/26/24 12:42,0.7875,1/26/24 12:42,2.10,1/26/24 13:15,3.54,,
1/26/24 12:47,0.91875,1/26/24 12:47,2.23,1/26/24 13:20,3.68,,
1/26/24 12:53,0.91875,1/26/24 12:53,2.10,1/26/24 13:37,3.68,,
1/26/24 12:58,0.91875,1/26/24 12:58,2.23,1/26/24 13:53,3.54,,
1/26/24 13:04,0.91875,1/26/24 13:04,2.10,1/26/24 13:59,3.68,,
1/26/24 13:10,0.91875,1/26/24 13:10,2.23,1/26/24 14:16,3.68,,
1/26/24 13:26,0.91875,1/26/24 13:26,2.23,1/26/24 14:27,3.81,,
1/26/24 13:43,1.05,1/26/24 13:43,2.23,1/26/24 14:32,3.68,,
1/26/24 13:54,0.91875,1/26/24 13:54,2.23,1/26/24 14:38,3.81,,
1/26/24 14:11,1.05,1/26/24 14:11,2.23,1/26/24 14:43,3.68,,
1/26/24 14:16,0.91875,1/26/24 14:16,2.36,1/26/24 14:54,3.81,,
1/26/24 14:27,1.05,1/26/24 14:27,2.23,1/26/24 15:11,3.81,,
1/26/24 14:33,1.05,1/26/24 14:33,2.36,1/26/24 15:28,3.68,,
1/26/24 14:44,1.18125,1/26/24 14:44,2.23,1/26/24 15:33,3.81,,
1/26/24 14:50,1.18125,1/26/24 14:50,2.36,1/26/24 15:44,3.94,,
1/26/24 15:06,1.3125,1/26/24 15:06,2.36,1/26/24 15:50,3.81,,
1/26/24 15:23,1.18125,1/26/24 15:23,2.36,1/26/24 16:06,3.81,,
1/26/24 15:40,1.18125,1/26/24 15:40,2.36,1/26/24 16:12,3.94,,
1/26/24 15:56,1.3125,1/26/24 15:56,2.36,1/26/24 16:18,3.68,,
1/26/24 16:07,1.18125,1/26/24 16:07,2.49,1/26/24 16:23,3.81,,
1/26/24 16:13,1.18125,1/26/24 16:13,2.36,1/26/24 16:40,3.81,,
1/26/24 16:18,1.3125,1/26/24 16:18,2.49,1/26/24 16:56,3.81,,
1/26/24 16:35,1.3125,1/26/24 16:35,2.49,1/26/24 17:02,3.81,,
1/26/24 16:52,1.3125,1/26/24 16:52,2.49,1/26/24 17:13,3.81,,
1/26/24 17:09,1.18125,1/26/24 17:09,2.49,1/26/24 17:29,3.81,,
1/26/24 17:25,1.18125,1/26/24 17:25,2.49,1/26/24 17:46,3.81,,
1/26/24 17:31,1.18125,1/26/24 17:31,2.49,1/26/24 18:02,3.94,,
1/26/24 17:47,1.18125,1/26/24 17:47,2.49,1/26/24 18:08,3.81,,
1/26/24 17:58,1.44375,1/26/24 17:58,2.63,1/26/24 18:14,3.94,,
1/26/24 18:15,1.44375,1/26/24 18:15,2.63,1/26/24 18:19,3.81,,
1/26/24 18:26,1.3125,1/26/24 18:26,2.63,1/26/24 18:30,3.94,,
1/26/24 18:32,1.3125,1/26/24 18:32,2.63,1/26/24 18:47,3.81,,
1/26/24 18:48,1.18125,1/26/24 18:48,2.63,1/26/24 18:58,3.94,,
1/26/24 19:05,1.3125,1/26/24 19:05,2.63,1/26/24 19:03,3.81,,
1/26/24 19:22,1.3125,1/26/24 19:22,2.63,1/26/24 19:09,3.94,,
1/26/24 19:27,1.44375,1/26/24 19:27,2.63,1/26/24 19:26,3.94,,
1/26/24 19:44,1.3125,1/26/24 19:44,2.63,1/26/24 19:42,3.94,,
1/26/24 19:49,1.3125,1/26/24 19:49,2.76,1/26/24 19:59,3.94,,
1/26/24 19:55,1.44375,1/26/24 19:55,2.63,1/26/24 20:15,3.94,,
1/26/24 20:00,1.44375,1/26/24 20:00,2.76,1/26/24 20:32,3.94,,
1/26/24 20:11,1.575,1/26/24 20:11,2.63,1/26/24 20:49,3.94,,
1/26/24 20:17,1.44375,1/26/24 20:17,2.76,1/26/24 21:05,3.94,,
1/26/24 20:34,1.575,1/26/24 20:34,2.76,1/26/24 21:22,3.94,,
1/26/24 20:39,1.44375,1/26/24 20:39,2.89,1/26/24 21:38,3.94,,
1/26/24 20:45,1.575,1/26/24 20:45,2.76,1/26/24 21:55,3.94,,
1/26/24 20:50,1.44375,1/26/24 20:50,2.89,1/26/24 22:11,3.94,,
1/26/24 21:07,1.575,1/26/24 21:07,2.89,1/26/24 22:28,3.94,,
1/26/24 21:24,1.44375,1/26/24 21:24,2.89,1/26/24 22:45,3.94,,
1/26/24 21:40,1.575,1/26/24 21:40,2.89,1/26/24 23:01,4.07,,
1/26/24 21:57,1.575,1/26/24 21:57,2.89,1/26/24 23:18,3.94,,
1/26/24 22:14,1.70625,1/26/24 22:14,2.89,1/26/24 23:23,4.07,,
1/26/24 22:19,1.44375,1/26/24 22:19,2.76,1/26/24 23:29,3.94,,
1/26/24 22:25,1.575,1/26/24 22:25,2.89,1/26/24 23:34,4.07,,
1/26/24 22:36,1.575,1/26/24 22:36,2.76,1/26/24 23:40,3.94,,
1/26/24 22:41,1.44375,1/26/24 22:41,2.89,1/26/24 23:56,3.94,,
1/26/24 22:53,1.575,1/26/24 22:53,2.76,1/27/24 0:07,4.07,,
1/26/24 22:58,1.70625,1/26/24 22:58,2.89,1/27/24 0:24,4.07,,
1/26/24 23:04,1.575,1/26/24 23:04,2.89,1/27/24 0:35,3.94,,
1/26/24 23:20,1.70625,1/26/24 23:20,2.89,1/27/24 0:41,4.07,,
1/26/24 23:37,1.70625,1/26/24 23:37,2.89,1/27/24 0:57,4.07,,
1/26/24 23:54,1.8375,1/26/24 23:54,3.02,1/27/24 1:14,4.07,,
1/26/24 23:59,1.8375,1/26/24 23:59,2.89,1/27/24 1:31,4.07,,
1/27/24 0:05,1.8375,1/27/24 0:05,3.02,1/27/24 1:47,4.07,,
1/27/24 0:16,1.70625,1/27/24 0:16,3.02,1/27/24 2:04,4.07,,
1/27/24 0:33,1.8375,1/27/24 0:33,3.02,1/27/24 2:20,4.07,,
1/27/24 0:38,1.70625,1/27/24 0:38,2.89,1/27/24 2:37,4.07,,
1/27/24 0:44,1.8375,1/27/24 0:44,3.02,1/27/24 2:53,4.07,,
1/27/24 1:00,1.96875,1/27/24 1:00,3.02,1/27/24 3:10,4.07,,
1/27/24 1:17,1.8375,1/27/24 1:17,3.02,1/27/24 3:27,4.07,,
1/27/24 1:23,1.8375,1/27/24 1:23,3.02,1/27/24 3:43,4.07,,
1/27/24 1:34,1.8375,1/27/24 1:34,3.15,1/27/24 3:49,4.07,,
1/27/24 1:39,1.96875,1/27/24 1:39,3.02,1/27/24 4:00,4.07,,
1/27/24 1:56,1.8375,1/27/24 1:56,3.02,1/27/24 4:05,4.07,,
1/27/24 2:02,1.96875,1/27/24 2:02,3.15,1/27/24 4:11,4.07,,
1/27/24 2:19,1.8375,1/27/24 2:19,3.15,1/27/24 4:22,4.07,,
1/27/24 2:30,1.8375,1/27/24 2:30,3.28,1/27/24 4:27,4.07,,
1/27/24 2:47,1.96875,1/27/24 2:47,3.15,1/27/24 4:33,4.07,,
1/27/24 3:03,1.8375,1/27/24 3:03,3.15,1/27/24 4:49,4.07,,
1/27/24 3:20,1.70625,1/27/24 3:20,3.15,1/27/24 5:00,4.07,,
1/27/24 3:26,1.96875,1/27/24 3:26,3.28,1/27/24 5:11,4.07,,
1/27/24 3:31,1.96875,1/27/24 3:31,3.28,1/27/24 5:17,4.07,,
1/27/24 3:37,2.1,1/27/24 3:37,3.28,1/27/24 5:34,4.07,,
1/27/24 3:48,1.96875,1/27/24 3:48,3.15,1/27/24 5:50,4.07,,
1/27/24 3:54,2.1,1/27/24 3:54,3.41,1/27/24 6:07,4.07,,
1/27/24 4:00,1.96875,1/27/24 4:00,3.28,1/27/24 6:23,4.07,,
1/27/24 4:16,2.1,1/27/24 4:16,3.15,1/27/24 6:40,4.07,,
1/27/24 4:22,1.96875,1/27/24 4:22,3.41,1/27/24 6:57,4.07,,
1/27/24 4:28,2.1,1/27/24 4:28,3.28,1/27/24 7:13,4.07,,
1/27/24 4:34,1.96875,1/27/24 4:34,3.15,1/27/24 7:30,4.07,,
1/27/24 4:40,2.1,1/27/24 4:40,3.28,1/27/24 7:46,4.07,,
1/27/24 4:51,1.96875,1/27/24 4:51,3.41,1/27/24 8:03,4.07,,
1/27/24 5:07,2.1,1/27/24 5:07,3.28,1/27/24 8:20,4.07,,
1/27/24 5:14,2.1,1/27/24 5:14,3.41,1/27/24 8:36,4.07,,
1/27/24 5:31,1.96875,1/27/24 5:31,3.41,1/27/24 8:53,4.07,,
1/27/24 5:37,2.1,1/27/24 5:37,3.54,1/27/24 9:09,4.07,,
1/27/24 5:43,2.1,1/27/24 5:43,3.41,1/27/24 9:26,4.07,,
1/27/24 6:00,1.96875,1/27/24 6:00,3.54,1/27/24 9:43,4.07,,
